,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
143,"Hoje Eu Vou Parar Na Gaiola","Mc Livinho",750406,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F
144,"Lights Up","Harry Styles",743978,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
145,"S de Saudade","Luíza & Maurílio",726416,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
146,"Espelho Meu - Ao Vivo","Henrique & Diego",725959,https://open.spotify.com/track/4mtHXZBOBMrZSI6jp3X9WJ
147,"Indomável (Participação especial de Belo)",Pk,721648,https://open.spotify.com/track/4YbZBChhX5SkLhNJcvvhuD
148,Oi,Lagum,719668,https://open.spotify.com/track/78kar2tZk7655xZMibzXO3
149,"7 rings","Ariana Grande",712372,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
150,"Piece Of Your Heart - Alok Remix",MEDUZA,712124,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW
151,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",707544,https://open.spotify.com/track/4UANYptjv2kpV6IY7IjXoJ
152,"Melhor Saída - Ao Vivo Em São Paulo / 2018","Lauana Prado",701852,https://open.spotify.com/track/704li4NOyKCQY6qNdoEW5n
153,Balão,Orochi,696425,https://open.spotify.com/track/2vHshN6rsDYqoiZlMhfRpo
154,Shallow,"Lady Gaga",695836,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
155,"Outro Dia","A Banca Records",695413,https://open.spotify.com/track/1lTsRXDMWFbsFjQGkbL5TX
156,"It's You","Ali Gatie",688103,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
157,"Irmão DQbrada!","Costa Gold",685206,https://open.spotify.com/track/4CPhkF6SboNZoZfjgaEYME
158,"Teu Segredo - Ao Vivo","Vou pro Sereno",676926,https://open.spotify.com/track/3kySOLOrkLeOPvu3HXEgVz
159,"Vamos pra Gaiola","MC Kevin o Chris",671220,https://open.spotify.com/track/7FiIQXpIeLo3ITfGGpb8PB
160,Happier,Marshmello,670867,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
161,"hot girl bummer",blackbear,666455,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
162,"How Do You Sleep?","Sam Smith",665290,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
163,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",661184,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2
164,"Abandono de Incapaz - Ao Vivo","Marília Mendonça",655215,https://open.spotify.com/track/0BNGeZfk8vEB5uXM6z8MBy
165,"Senta braba","MC WM",652358,https://open.spotify.com/track/2SgVsDXzET5EU8VngMh9dv
166,"Tonelada de Solidão (feat. Ferrugem) - Ao Vivo","Marcos & Belutti",651725,https://open.spotify.com/track/2dEkETSUpO8oZoCOcKT1yN
167,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",647325,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
168,Banco,Matuê,644306,https://open.spotify.com/track/7MPQNyAX02uIEQCRsC4sgc
169,"Nem Tchum - Ao Vivo","Maiara & Maraisa",643834,https://open.spotify.com/track/4oRI9c4EmcKo9kbgVM8zWP
170,"Regras - Ao Vivo","Diego & Arnaldo",642990,https://open.spotify.com/track/11DkUDkBt9kaha1QRnuCMU
171,Surtada,"Neo Beats",634048,https://open.spotify.com/track/61vDGoB9k3ximR5YNzjmBc
172,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",632547,https://open.spotify.com/track/371Up3WP7OqJNFPf0BiyUe
173,"Anos Luz",Matuê,630845,https://open.spotify.com/track/6J8UJNZrIwvcpsWHvSkwXn
174,"Pesquisa no Google (feat. Henrique & Diego) - Ao Vivo","Turma do Pagode",627529,https://open.spotify.com/track/1xg3EbmhAr1cfNOA55pvKH
175,"Praia do Rosa - Acústico",Oriente,623249,https://open.spotify.com/track/5lYKob6hewwt3dcy5kWMfF
176,"Fica - Bonus Track",ANAVITÓRIA,622503,https://open.spotify.com/track/1qDZnViQgUItsMpWLVwfGb
177,Infarto,"Diego & Victor Hugo",620744,https://open.spotify.com/track/0XEJ7eph2IWFYZc73Jm3n2
178,goosebumps,"Travis Scott",619085,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
