,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"Hate Me (with Juice WRLD)","Ellie Goulding",46301,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
74,Happier,Marshmello,46287,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
75,"Say You Won't Let Go","James Arthur",46195,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
76,"Johnny Run Away","Tones and I",46019,https://open.spotify.com/track/0vHmuAr3iAuGBAqMmraa05
77,Choir,"Guy Sebastian",45910,https://open.spotify.com/track/59zWQR2wQnSlkG4xTTwY9d
78,"Money In The Grave (Drake ft. Rick Ross)",Drake,45747,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
79,"Bad To You (with Normani & Nicki Minaj)","Ariana Grande",45578,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
80,"Stuck In A Dream (feat. Gunna)","Lil Mosey",45388,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
81,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",45185,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
82,Misunderstood,"Youngn Lipz",44842,https://open.spotify.com/track/0aZMdAA6pg0IdH1r9MF5sT
83,"Mr. Brightside","The Killers",44617,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
84,"Talk (feat. Disclosure)",Khalid,44015,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
85,"Harleys In Hawaii","Katy Perry",43852,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR
86,Lover,"Taylor Swift",42991,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
87,Better,Khalid,42304,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
88,"Without Me",Halsey,41710,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
89,"I Like Me Better",Lauv,41346,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
90,"boyfriend (with Social House)","Ariana Grande",41090,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
91,Wow.,"Post Malone",40750,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
92,"Used To Love (with Dean Lewis)","Martin Garrix",40538,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
93,"SICKO MODE","Travis Scott",40276,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
94,Confidence,"Ocean Alley",40071,https://open.spotify.com/track/7to68V64Cu6zk0UDo5tyw3
95,2002,Anne-Marie,39500,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
96,"lovely (with Khalid)","Billie Eilish",39483,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
97,Painkiller,Ruel,39358,https://open.spotify.com/track/1YlulsUKDduOmC7WxvXYPW
98,"Lucid Dreams","Juice WRLD",39355,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
99,Shotgun,"George Ezra",38951,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
100,"when the party's over","Billie Eilish",38890,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
101,"7 rings","Ariana Grande",38773,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
102,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,38461,https://open.spotify.com/track/4etKC4ngPKsQDHUMnYgV3A
103,"Real Thing",Ruel,38418,https://open.spotify.com/track/24KD18eYQQQWaSW9Von1vA
104,"Find an Island",BENEE,38274,https://open.spotify.com/track/4DnKssL3N9jv5aox9Xsavc
105,"I Fall Apart","Post Malone",38188,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
106,"Phone Numbers","Dominic Fike",38143,https://open.spotify.com/track/3f9Mzvd3URfbbIJBX4pz9Z
107,"You Need To Calm Down","Taylor Swift",37837,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
108,"rockstar (feat. 21 Savage)","Post Malone",37468,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
109,"Shape of You","Ed Sheeran",37351,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
110,"Party In The U.S.A.","Miley Cyrus",37209,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
111,Chanel,"Frank Ocean",37157,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
112,"Bohemian Rhapsody - Remastered 2011",Queen,36932,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
113,Orphans,Coldplay,36871,https://open.spotify.com/track/6muOWhMh7Tf0UFUtMDBhUR
114,"Then What",Illy,36580,https://open.spotify.com/track/5FfZ40feVmKy7AAcVMTgaG
115,Africa,TOTO,36434,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
116,"RITMO (Bad Boys For Life)","The Black Eyed Peas",36325,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
117,Engineers,"Hp Boyz",36247,https://open.spotify.com/track/2WKAty6EEiV8Lt8dAnRAdy
118,"The Less I Know The Better","Tame Impala",36081,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
119,"Never Really Over","Katy Perry",36053,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
120,"Better Now","Post Malone",35772,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
121,"The London (feat. J. Cole & Travis Scott)","Young Thug",35258,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
122,"What Am I","Why Don't We",35233,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
123,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",34748,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2
124,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",34618,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
125,"thank u, next","Ariana Grande",34568,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
126,"Dancing With A Stranger (with Normani)","Sam Smith",34452,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
127,Paradise,Bazzi,34054,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
128,"Body (feat. Brando)","Loud Luxury",33761,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
129,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",33674,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
130,Juicy,"Doja Cat",33653,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
131,"Dreams - 2004 Remaster","Fleetwood Mac",33552,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
132,"Dancing On My Own","Calum Scott",33502,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
133,"Ben 10",ONEFOUR,33498,https://open.spotify.com/track/2JK8HVAU1Jyd8BWNMGc76A
134,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",33455,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
135,Riptide,"Vance Joy",33395,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
136,"Sweet but Psycho","Ava Max",33296,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
137,"Don't Stop Believin'",Journey,32979,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
138,"Rescue Me",OneRepublic,32715,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
139,"Taste (feat. Offset)",Tyga,32431,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
140,Perfect,"Ed Sheeran",32222,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
141,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",32157,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
142,"Ladz in the Hood",ONEFOUR,32122,https://open.spotify.com/track/0Exfrf3nRw9SXpls2n8KFB
143,"Summer Of '69","Bryan Adams",32080,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
144,"Wonderwall - Remastered",Oasis,32033,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
145,"Spot the Difference",ONEFOUR,31899,https://open.spotify.com/track/587Cj6WZ9NTCfYhpmVkGID
146,Closer,"The Chainsmokers",31717,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
147,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",31713,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
148,"Here With Me",Marshmello,31709,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
