,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
85,"Un Año","Sebastian Yatra",746210,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
86,"Lamento Boliviano","Los Enanitos Verdes",732782,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
87,"Si Se Da - Remix","Myke Towers",730299,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
88,Bonita,Juanes,716079,https://open.spotify.com/track/0gcOnIUKIG6JF56iFUfE0p
89,"El Día De Los Muertos","Alfredo Olivas",706406,https://open.spotify.com/track/6J4MbIlBn50XGo31UTdD3D
90,Bellaquita,Dalex,705327,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
91,"MIA (feat. Drake)","Bad Bunny",702810,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
92,Bellacoso,Residente,702522,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
93,Oye,TINI,702334,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
94,Secreto,"Anuel AA",701070,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
95,"La Incondicional","Luis Miguel",700347,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
96,Buttercup,"Jack Stauber",699718,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
97,"El Roto - En Vivo","Grupo Firme",690255,https://open.spotify.com/track/21bfgzz92T3L96IsFn8Kvy
98,"Cuerpo en Venta",Noriel,688975,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
99,"Si Supieras","Daddy Yankee",686626,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
100,"El Color de Tus Ojos","Banda Sinaloense MS de Sergio Lizárraga",684882,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
101,"Baby Girl (feat. Lalo Ebratt)","Mario Bautista",678024,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc
102,"Por Mi No Te Detengas","Banda Sinaloense MS de Sergio Lizárraga",676189,https://open.spotify.com/track/3mV5TTtHnXUeOzRkyFKsVl
103,"No Te Vayas",Camilo,671794,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
104,Believer,"Imagine Dragons",664505,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
105,"Te Quemaste","Manuel Turizo",662099,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
106,Aullando,"Wisin & Yandel",661783,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
107,"Amigos Con Derechos",Reik,659155,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524
108,"Que Mas Pues - Remix",Sech,656481,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
109,"Someone You Loved","Lewis Capaldi",653705,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
110,"UN PESO","J Balvin",651421,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa
111,"Ride It",Regard,648513,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
112,"Así Es La Vida",Elefante,647231,https://open.spotify.com/track/3q2aVABxuztNi3iS6h6qdB
113,"Cuando Nadie Ve",Morat,645803,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k
114,"El Amor de Mi Vida","La Adictiva Banda San José de Mesillas",641720,https://open.spotify.com/track/2xxq5LXFBFyawPChsOOWVu
115,"Old Town Road - Remix","Lil Nas X",640079,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
