song_title,Better Now
stream_count,12594
za,za
artist,Dominic Fike
song_title,3 Nights
stream_count,12323
za,za
artist,Post Malone
song_title,Hollywood's Bleeding
stream_count,12323
za,za
artist,Noah Cyrus
song_title,July
stream_count,12292
za,za
artist,Jonas Blue
song_title,What I Like About You (feat. Theresa Rex)
stream_count,12249
za,za
artist,Loud Luxury
song_title,Body (feat. Brando)
stream_count,12215
za,za
artist,Journey
song_title,Don't Stop Believin'
stream_count,12180
za,za
artist,Ricus Nel
song_title,Boerepompie (feat. Snotkop)
stream_count,11983
za,za
artist,Maroon 5
song_title,Girls Like You (feat. Cardi B)
stream_count,11915
za,za
artist,Post Malone
song_title,Enemies (feat. DaBaby)
stream_count,11912
za,za
artist,Panic! At The Disco
song_title,High Hopes
stream_count,11908
za,za
artist,Billie Eilish
song_title,when the party's over
stream_count,11880
za,za
artist,Martin Garrix
song_title,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
stream_count,11872
za,za
artist,Ariana Grande
song_title,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)
stream_count,11634
za,za
artist,De Mthuda
song_title,Shesha
stream_count,11609
za,za
artist,Kanye West
song_title,Jesus Is Lord
stream_count,11506
za,za
artist,Young Thug
song_title,Hot (feat. Gunna)
stream_count,11396
za,za
artist,Kabza De Small
song_title,Alalahi
stream_count,11308
za,za
artist,Dermot Kennedy
song_title,Outnumbered
stream_count,11074
za,za
artist,Elandré
song_title,Vuur Op Die Water
stream_count,11073
za,za
artist,Chris Brown
song_title,Heat (feat. Gunna)
stream_count,11049
za,za
artist,The Black Eyed Peas
song_title,RITMO (Bad Boys For Life)
stream_count,11034
za,za
artist,Marshmello
song_title,One Thing Right
stream_count,11021
za,za
artist,Jonas Brothers
song_title,Only Human
stream_count,11007
za,za
artist,Black Coffee
song_title,LaLaLa
stream_count,11007
za,za
artist,Mario
song_title,Let Me Love You
stream_count,10986
za,za
artist,Ellie Goulding
song_title,Sixteen
stream_count,10977
za,za
artist,Imagine Dragons
song_title,Believer
stream_count,10918
za,za
artist,DaBaby
song_title,VIBEZ
stream_count,10913
za,za
artist,Summer Walker
song_title,Come Thru (with Usher)
stream_count,10879
za,za
artist,Sam Smith
song_title,Too Good At Goodbyes
stream_count,10743
za,za
artist,Imagine Dragons
song_title,Thunder
stream_count,10678
za,za
artist,Jorja Smith
song_title,Be Honest
stream_count,10633
za,za
artist,Kygo
song_title,Happy Now
stream_count,10598
za,za
artist,Ariana Grande
song_title,"thank u, next"
stream_count,10557
za,za
artist,Wale
song_title,On Chill (feat. Jeremih)
stream_count,10511
za,za
artist,Juice WRLD
song_title,Lucid Dreams
stream_count,10508
za,za
artist,Bebe Rexha
song_title,Meant to Be (feat. Florida Georgia Line)
stream_count,10502
za,za
artist,5 Seconds of Summer
song_title,Easier
stream_count,10483
za,za
artist,Samthing Soweto
song_title,Sebenzela nina
stream_count,10479
za,za
artist,Andy Grammer
song_title,"Don't Give Up On Me - (From ""Five Feet Apart"")"
stream_count,10473
za,za
artist,TNS
song_title,Umona (feat. Mpumi)
stream_count,10469
za,za
artist,Ed Sheeran
song_title,Shape of You
stream_count,10460
za,za
artist,Meek Mill
song_title,Going Bad (feat. Drake)
stream_count,10372
za,za
artist,Megan Thee Stallion
song_title,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)
stream_count,10347
za,za
artist,Zedd
song_title,The Middle
stream_count,10335
za,za
artist,JazziDisciples
song_title,Sgubu Se Monati
stream_count,10333
za,za
artist,Nasty C
song_title,God Flow
stream_count,10301
za,za
artist,Ed Sheeran
song_title,Perfect
stream_count,10217
za,za
artist,The Chainsmokers
song_title,Something Just Like This
stream_count,10120
za,za
artist,DaBaby
song_title,Suge
stream_count,10115
za,za
artist,Lauren Daigle
song_title,You Say
stream_count,10098
za,za
artist,DaBaby
song_title,BOP
stream_count,10093
za,za
artist,H.E.R.
song_title,Best Part (feat. Daniel Caesar)
stream_count,10064
za,za
artist,Bazzi
song_title,Beautiful (feat. Camila Cabello)
stream_count,10061
za,za
artist,JazziDisciples
song_title,My Sunday
stream_count,10029
za,za
artist,Alec Benjamin
song_title,Let Me Down Slowly
stream_count,10020
za,za
artist,Blue Ivy
song_title,BROWN SKIN GIRL
stream_count,9950
za,za
artist,Juluka
song_title,Impi
stream_count,9863
